,precision,recall,f1-score,support
0,1.0,1.0,1.0,2568.0
1,1.0,1.0,1.0,2451.0
2,0.996529116853066,0.9866361206567392,0.9915579432079816,2619.0
3,0.9925280199252802,0.998329853862213,0.9954204829308909,2395.0
4,0.9955169515270383,0.9894179894179894,0.9924581005586592,3591.0
5,0.8275862068965517,1.0,0.9056603773584906,24.0
6,0.9898828541001065,0.9919957310565635,0.9909381663113006,3748.0
7,1.0,0.978021978021978,0.9888888888888889,182.0
micro avg,0.9951005526120891,0.9936852884287177,0.9943924169536876,17578.0
macro avg,0.9752553936627553,0.9930502091269353,0.9831154949070264,17578.0
weighted avg,0.9951563740940687,0.9936852884287177,0.9944014804389845,17578.0
samples avg,0.9956048051207858,0.9944101012758122,0.9942569662351327,17578.0
